title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
Organ Transplantation Euthanasia Cloning And Animal Experimentation An Islamic View,"Muslims believe that everything they own has been given to them as a trust from Allah. Would it constitute a breach of that trust to consent to enrol oneself as an organ donor? While euthanasia may apparently alleviate suffering of the terminally ill, would that not compound their agony in the life hereafter? The author sheds lights on these issues and acqaints the reader with the latest rulings on these biotechnological manipulations.",,Books->Children->Young Adults (12+),10,4.99,4.99,4.99,0.29,,,,9.78086E+12,9780860373315.jpg,Paperback|Abul Fadl Mohsin Ebrahim|2001|144|The Islamic Foundation,non-taxable,zero-rate
Muhammad Man and Prophet ,"A fascinating account of events, from the start of revelations to the Prophet to the successful culmination of his efforts which united Arabia by its faith of Islam. Muhammad: Man and Prophet, analyses the distinguished life and career of the Prophet, while drawing material from authentic sources on Islam in Arabic. Written for both general readers and specialists.",,Books->Children->Islamic History-True Stories,10,3.95,3.95,3.95,0.19,,,,9.78086E+12,9780860373278.jpg,Hardback|Adil Salahi|2002|854|The Islamic Foundation,non-taxable,zero-rate
Pioneers of Islamic Scholarship,"Over the fourteen centuries of its existence, Islamic scholarship has produced numerous individuals who have distinguished themselves by acquiring broad knowledge and deep insight. However, true distinction is only achieved through a lasting influence, particularly when the area of scholarship is a religion that presents itself as being suited to all communities at all times. The selection has to start with the founders of the eight schools of jurisprudence who have had a continuous following over the centuries up to the present day. This book introduces nine scholars from these schools and adds two more from a much later era whose influence extended far beyond the area of pure scholarship. In simple language, this book gives a clear picture of how the Islamic schools of jurisprudence differ in their methodologies, showing at the same time how much interaction they project. It serves as a primary source for those who wish to follow a course in Islamic studies, this book is indispensable for others who wish to have a fair but concise idea about the most important personalities who have shaped Islamic scholarship for centuries.",,Books->Children->Contemporary Fiction,10,5.95,5.95,5.95,0.38,,,,9.78086E+12,9780860375708.jpg,Paperback|Adil Salahi|2006|210|The Islamic Foundation,non-taxable,zero-rate
Against Smoking. An Ottoman Manifesto,"Ottomans initiated the West to the pleasures of opium, coffee and tulips. For their reward, they got literally smoked by Europeans, who started exporting tobacco to Turkey in the early 1600. This book is the first English language translation  of the original Arabic critical edition, presented in a scholarly edition, with  arguments drawn on the Quran, hadith, medicine and distrust towards the West. ",,Books->Comparative Religion,10,5.95,5.95,5.95,0.17,,,,9.78185E+12,9781847740205.jpg,Hardback|Ahmad Al-aqhisari | Yahya Michot|2008|108|Kube Publishing ,non-taxable,zero-rate
 Perceptions of Islam in European Writings,"This study contributes significantly to the dialogue between Islam and the West a field which has tended to be dominated by mainly non-Muslim writers. Primarily concerned with an intellectual history of Western, mainly English and French, writers; responses to Islam from about 1787 to the 1890s, the author uses both European and Islamic source materials in his study. His thorough evaluation of writers including Toderini, Boulainvillier, Sylvestre de Sacy, Byron, Edward Lane, Gobineau and Renan, does justice to the European tradition of writing on Islam. At the same time, the scholarly Muslim point of view is sustained by the use of Islamic source materials which have won the esteem of the Muslim community throughout the centuries.",,Books->Hadith & Seerah,10,9.99,9.99,9.99,0.5,,,,9.78086E+12,9780860373780.jpg,Paperback|Ahmad Gunny|2003|352|The Islamic Foundation,non-taxable,zero-rate
Perceptions of Islam in European Writings,"This study contributes significantly to the dialogue between Islam and the West; a field which has tended to be dominated by mainly non-Muslim writers. Primarily concerned with an intellectual history of Western, mainly English and French, writers; responses to Islam from about 1787 to the 1890s, the author uses both European and Islamic source materials in his study. His thorough evaluation of writers including  Toderini, Boulainvillier, Sylvestre de Sacy, Byron, Edward Lane, Gobineau and Renan, does justice to the European tradition of writing on Islam. At the same time, the scholarly Muslim point of view is sustained by the use of Islamic source materials which have won the esteem of the Muslim community throughout the centuries.",,Books->The Quran,10,9.99,9.99,9.99,0.48,,,,9.78086E+12,9780860373735.jpg,Hardback|Ahmad Gunny|2003|352|The Islamic Foundation,non-taxable,zero-rate
Prophet Muhammad in French and English Literature: 1650-Present,"This magisterial survey of the Prophet Muhammad in French and English literature over 350 years is both a cross-cultural history and a discussion of the intellectual changes in the representation of the Prophets life based on the close examination of original published and unpublished manuscripts. It is in the mid-seventeenth century that serious Western responses to Muhammad (PBUH) first emerge, but the now common acceptance of his status as Prophet has been relatively recent. While there have been many attempts to renew Islamic studies in the West, Gunny argues that it is not necessary to discard Islamic sources to achieve this aim.",,Books->Women & Family,10,7.95,7.95,7.95,0.35,,,,9.78086E+12,9780860374787.jpg,Hardback|Ahmad Gunny|2010|268|The Islamic Foundation,non-taxable,zero-rate
Islam For Children,"A simple overview of Islamic beliefs, practices,manners, history and stories of the Prophets for children, told through stories in an engaging, child friendly way. Includes puzzles, colouring and activity pages.  ",,Books->General,10,7.95,7.95,7.95,0.35,,,,9.78086E+12,9780860370857.jpg,Paperback|Ahmad von Denffer|1982|176|The Islamic Foundation|5+,non-taxable,zero-rate
Ulum ul Quran: An Introduction to the Sciences of the Quran,"The first survey of this important subject in a Western language. This exceptionally clear and helpful introduction to the study of the Qur'an is free of jargon and contains a large number of facts and insights regarding the Scripture of Islam. Newsletter of the Office On Christian-Muslim Relations, Hartford Seminary, U.S.A",,Books->Economics,10,19.95,19.95,19.95,0.63,,,,9.78086E+12,9780860372486.jpg,Paperback|Ahmad von Denffer|1994|200|The Islamic Foundation,non-taxable,zero-rate
I Can Pray Anywhere,"This book introduces the concept and practice of Prayer in Islam. At the same time, it points to the beauty and charms of landscape, so generously bestowed by Allah on the planet earth.",,Books->Economics,10,14.95,14.95,14.95,0.52,,,,9.78086E+12,9780860373391.jpg,Boardbook|Aisha Ghani|2004|15|The Islamic Foundation|3+,non-taxable,zero-rate
